tags,hasConnection,level1_tags,coded_tags,idauthor
['I'],"['p02356', 'p00885', 'p00471', 'p03162']","['D', 'H', 'I', 'J', 'G']",[0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0],p00190
"['E', 'L', 'D', 'H', 'G']","['p04664', 'p05402', 'p05395', 'p00615', 'p00465']","['E', 'L', 'D', 'O', 'F', 'H', 'G']",[0 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0],p00191
"['M', 'L', 'D']","['p01969', 'p03733', 'p01976', 'p04614']","['K', 'L', 'D', 'O', 'H', 'I', 'M', 'C', 'G']",[1 1 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0],p00192
"['E', 'L', 'D', 'C', 'G']","['p01145', 'p00518', 'p05396']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1],p00193
"['E', 'H', 'D']","['p04480', 'p01694']","['E', 'D', 'H', 'R', 'J', 'C']",[1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0],p00194
"['Z', 'D', 'C']","['p03157', 'p03399', 'p00550']","['E', 'L', 'D', 'O', 'H', 'J', 'C', 'Z']",[1 1 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1],p00195
"['L', 'D', 'O', 'F', 'Q', 'M', 'C']","['p02151', 'p05027', 'p04614', 'p01842', 'p02575', 'p02336']","['E', 'L', 'D', 'O', 'F', 'H', 'I', 'Q', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0],p00198
"['G', 'D', 'C']","['p03147', 'p02063', 'p04694', 'p01271']","['G', 'D', 'C']",[1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00201
"['R', 'D']","['p02130', 'p02154']","['R', 'D', 'E', 'O']",[0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0],p00202
"['E', 'D', 'H']","['p02276', 'p00188']","['E', 'L', 'D', 'F', 'N', 'H', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0],p00204
"['G', 'D']",['p03202'],"['L', 'D', 'H', 'I', 'J', 'C', 'G']",[1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0],p00205
"['P', 'L', 'D', 'G']","['p01165', 'p02595']","['P', 'L', 'D', 'G']",[0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0],p00206
"['G', 'D']","['p00942', 'p01866']","['G', 'D']",[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00209
['D'],['p03639'],['D'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00212
"['E', 'D', 'G']","['p03482', 'p05465', 'p00426']","['E', 'L', 'D', 'O', 'P', 'F', 'R', 'J', 'C', 'G']",[1 1 1 1 1 0 0 1 0 1 0 0 1 1 0 1 0],p00213
"['E', 'O']","['p03763', 'p04222']","['E', 'O']",[0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0],p00214
"['D', 'C']",['p05511'],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00217
"['R', 'L', 'H', 'I']","['p04110', 'p04791', 'p04563', 'p02832', 'p00971']","['K', 'L', 'D', 'H', 'I', 'R', 'Q', 'J', 'C', 'G']",[1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0],p00218
"['I', 'D', 'C']","['p00521', 'p05380', 'p04094', 'p02840', 'p05597', 'p05163']","['L', 'D', 'H', 'I', 'M', 'J', 'C']",[1 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0],p00219
"['E', 'O', 'P', 'H', 'J']",[],"['E', 'O', 'P', 'H', 'J']",[0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0],p00220
"['K', 'N', 'H', 'I', 'J']",['p00789'],"['K', 'N', 'H', 'I', 'J']",[0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0],p00221
"['J', 'C']","['p04486', 'p01033', 'p02108']","['E', 'D', 'O', 'H', 'I', 'J', 'C', 'G']",[1 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0],p00224
"['G', 'D', 'H', 'I']","['p03507', 'p02693', 'p02761', 'p01371', 'p02069']","['K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'J', 'G']",[0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0],p00225
